"id","source","destination"
106,"0572BTARI","02MT-oARI"
139,"0611BTARI","0641BTARI"
141,"0641BTARI","0671BTARI"
142,"0642BTARI","0642MT-oARI"
146,"01MT-oARI","0672BTARI"
147,"0671BTARI","0701BTARI"
148,"0672BTARI","0702BTARI"
153,"0761BTDEM","02MT-oDEM"
154,"0762BTDEM","04MT-oDEM"
173,"01MT-oDEM","0801BTDEM"
174,"03MT-oDEM","0802BTDEM"
175,"0801BTDEM","0831BTDEM"
176,"0802BTDEM","0832BTDEM"
177,"0831BTDEM","0861BTDEM"
178,"0832BTDEM","0862BTDEM"
179,"0861BTDEM","0881BTDEM"
180,"0862BTDEM","0882BTDEM"
181,"0881BTDEM","0911BTKAR"
182,"0882BTDEM","0912BTKAR"
183,"0911BTKAR","0941BTKAR"
184,"0912BTKAR","0942BTKAR"
185,"0941BTKAR","0971BTKAR"
186,"0942BTKAR","0972BTKAR"
140,"0612BTARI","0642BTARI"
222,"1021BTKAR","1061BTKAR"
223,"1022BTKAR","1062BTKAR"
220,"03MT-oKAR","1022BTKAR"
221,"01MT-oKAR","1021BTKAR"
