ObjectID,X,Y
189,32.7486,39.87444
190,32.74862,39.87434
191,32.74864,39.87424
192,32.74866,39.87414
193,32.74867,39.87403
194,32.74869,39.87392
195,32.7487,39.87381
196,32.74872,39.87371
197,32.74874,39.87361
198,32.74876,39.87352
199,32.74878,39.87345
200,32.74879,39.8734
201,32.7488,39.87336
202,32.74881,39.87331
203,32.74879,39.87324
204,32.7488,39.87318
205,32.74882,39.87311
206,32.74883,39.87303
207,32.74882,39.87294
208,32.74884,39.87285
209,32.74885,39.87276
210,32.74887,39.87267
211,32.74889,39.87259
212,32.7489,39.8725
213,32.74891,39.87241
214,32.74892,39.87232
215,32.74893,39.87222
216,32.74894,39.87213
217,32.74895,39.87203
218,32.74895,39.87193
219,32.74895,39.87182
220,32.74896,39.87172
221,32.74896,39.87161
222,32.74896,39.87151
223,32.74896,39.87144
224,32.74896,39.87138
225,32.74897,39.87134
226,32.74897,39.87129
227,32.74897,39.87124
228,32.74897,39.87118
229,32.74897,39.87111
230,32.74897,39.87103
231,32.74898,39.87095
232,32.74898,39.87086
233,32.74898,39.87078
234,32.74898,39.87069
235,32.74898,39.87061
236,32.74897,39.87051
237,32.74897,39.87042
238,32.74896,39.87033
239,32.74893,39.87024
240,32.74888,39.87014
241,32.74882,39.87004
242,32.74873,39.86995
243,32.74864,39.86987
244,32.74854,39.86979
245,32.74843,39.86974
246,32.74831,39.86969
247,32.74818,39.86964
248,32.74806,39.86963
249,32.74795,39.8696
250,32.74785,39.86957
251,32.74775,39.86958
252,32.74767,39.86957
253,32.74761,39.86955
254,32.74758,39.86955
255,32.74757,39.86955
256,32.74755,39.86955
257,32.74752,39.86954
258,32.74748,39.86954
259,32.74743,39.86954
260,32.7474,39.86954
261,32.74735,39.86953
262,32.74729,39.86954
263,32.74723,39.86953
264,32.74716,39.86953
265,32.7471,39.86953
266,32.74703,39.86952
267,32.74697,39.86952
268,32.74691,39.86951
269,32.74684,39.8695
270,32.74676,39.86951
271,32.74667,39.86949
272,32.7466,39.86946
273,32.74653,39.86945
274,32.74649,39.86936
275,32.74646,39.86931
276,32.74643,39.86925
277,32.74644,39.86917
278,32.74647,39.8691
279,32.74649,39.86902
280,32.7465,39.86893
281,32.74651,39.86884
282,32.74653,39.86875
283,32.74655,39.86866
284,32.74656,39.86857
285,32.74657,39.86848
286,32.74659,39.8684
287,32.7466,39.86831
288,32.74662,39.86822
289,32.74664,39.86813
290,32.74666,39.86803
291,32.74668,39.86794
292,32.74669,39.86784
293,32.74671,39.86774
294,32.74673,39.86764
295,32.74675,39.86754
296,32.74677,39.86745
297,32.74678,39.86737
298,32.74679,39.8673
299,32.7468,39.86724
300,32.74681,39.86718
301,32.74682,39.86712
