Name;source;destination;source_station;destination_station;source_X;source_Y;destination_X;destination_Y
;BL1;BL2;BIL;BIL;0;150;40;150
;BL2;BL3;BIL;BIL;40;150;80;150
;BL3;BL4;BIL;BIL;80;150;120;150
;BL4;BL5;BIL;BIL;120;150;150;100
;BL5;BL10;BIL;BIL;150;100;150;50
;BL6;BL5;BIL;BIL;180;150;150;100
;BL7;BL6;BIL;BIL;210;150;180;150
;BL8;BL7;BIL;BIL;250;150;210;150
;BL9;BL8;BIL;BIL;290;150;250;150
