name;station;latitude;longitude;dispX;dispY
BL1;BIL;39.87108;32.74894;0;150
BL2;BIL;39.86996;32.74874;40;150
BL3;BIL;39.86938;32.74649;80;150
BL4;BIL;39.86778;32.74681;120;150
BL5;BIL;39.86586;32.74704;150;100
BL6;BIL;39.86535;32.74842;180;150
BL7;BIL;39.86614;32.75036;210;150
BL8;BIL;39.86759;32.75049;250;150
BL9;BIL;39.86794;32.75251;290;150
BL10;BIL;39.86492;32.74693;150;50
