name;station;latitude;longitude;dispX;dispY
BL1;BIL;39.878649;32.753277;0;150
BL2;BIL;39.878181;32.753271;40;150
BL3;BIL;39.877695;32.753156;80;150
BL4;BIL;39.877170;32.752959;120;150
